업체명,모델명,연료,도심주행연비,고속도로연비
현대,G90 e-S/C 3.5T-GDI 2WD 4인 20인치(nC)_24MY,휘발유,7.8,11.2
현대,G90 e-S/C 3.5T-GDI 2WD 4인 20인치(C)_24MY,휘발유,7.8,11.2
현대,G90 e-S/C 3.5T-GDI 2WD 4/5인 블랙라인,휘발유,7.3,10.4
현대,G90 e-S/C 3.5T-GDI 2WD 5인 21인치_24MY,휘발유,7.6,10.8
현대,G90 e-S/C 3.5T-GDI 2WD 4인 21인치_24MY,휘발유,7.6,10.8
현대,G90 e-S/C 3.5T-GDI AWD 5인 20인치_24MY,휘발유,7.3,10.3
현대,G90 e-S/C 3.5T-GDI AWD 4인 20인치_24MY,휘발유,7.3,10.3
현대,G90 e-S/C 3.5T-GDI AWD 4/5인 블랙라인,휘발유,7.1,10
현대,G90 e-S/C 3.5T-GDI AWD 5인 21인치_24MY,휘발유,7.2,10.1
현대,G90 3.5T-GDI 2WD 5인 19인치 (nC)_24MY,휘발유,8,11.5
현대,G90 3.5T-GDI 2WD 5인 19인치(C)_24MY,휘발유,8,11.5
현대,G90 3.5T-GDI 2WD 4인 19인치_24MY,휘발유,7.8,11.1
현대,G90 3.5T-GDI 2WD 4/5인 블랙라인,휘발유,7.6,10.8
현대,G90 3.5T-GDI 2WD 5인 20인치_24MY,휘발유,7.7,10.8
현대,G90 3.5T-GDI 2WD 4인 20인치_24MY,휘발유,7.7,10.8
현대,G90 3.5T-GDI AWD 5인 19인치_24MY,휘발유,7.4,10.3
현대,G90 3.5T-GDI AWD 4인 19인치_24MY,휘발유,7.4,10.3
현대,G90 3.5T-GDI AWD 4/5인 블랙라인,휘발유,7,9.8
현대,G90 3.5T-GDI AWD 5인 20인치_24MY,휘발유,7.2,10.1
현대,G90 3.5T-GDI AWD 4인 20인치_24MY,휘발유,7.2,10.1
현대,아이오닉5 개조 항속형 RWD 19인치(C),전기,5.6,4.5
벤틀리,Bentayga V8 EWB,휘발유,6.1,8.3
포르쉐,카이엔 E-하이브리드 COUPE,전기+휘발유,11.3,12.3
기아,봉고 전기차 (24MY),전기,3.6,2.7
포르쉐,카이엔 E-하이브리드 COUPE (5인승),전기+휘발유,11.3,12.3
르노코리아자동차(주),"ARKANA 1.6 (17"" tire) LRRC",휘발유,12.3,15.6
현대,"스타리아(US4) 하이브리드 1.6T-GDI 11인 17""",휘발유,13.1,12
현대,"스타리아(US4) 밴 하이브리드 1.6T-GDI 3인 17""",휘발유,13.9,12
현대,"스타리아(US4) 하이브리드 1.6T-GDI 9인 17"" (nC)",휘발유,13.5,11.6
현대,"스타리아(US4) 하이브리드 1.6T-GDI 9인 18"" (nC)",휘발유,13.5,11.6
현대,"스타리아(US4)라운지 하이브리드1.6T-GDI 7인 18""(nC)",휘발유,13.5,11.6
현대,"스타리아(US4) 하이브리드 1.6T-GDI 9인 17"" (C)",휘발유,13.1,11.6
