업체명,모델명,연료,도심주행연비,고속도로연비
현대,G80 3.5T-GDI 2WD 20인치 (SP 다이내믹),휘발유,7.6,11.1
현대,G80 3.5T-GDI 2WD 20인치 (SP),휘발유,7.8,10.7
현대,G80 3.5T-GDI 2WD 20인치 (22MY),휘발유,7.8,11.2
현대,G80 2.5T-GDI AWD 20인치 (SP),휘발유,8.5,11.6
현대,G80 2.5T-GDI AWD 20인치 (22MY),휘발유,8.6,11.5
현대,G80 2.5T-GDI AWD 19인치 (SP),휘발유,8.7,11.6
현대,G80 2.5T-GDI 2WD 20인치 (SP),휘발유,9.2,12.5
현대,G80 2.5T-GDI 2WD 20인치 (22MY),휘발유,9.2,12.6
현대,G80 2.5T-GDI 2WD 19인치 (SP),휘발유,9.3,12.8
현대,G80 Electrified,전기,4.5,4.1
기아,K9 PE 3.3GDI 2WD 18인치(빌트인캠),휘발유,7.8,11
기아,K9 PE 3.3GDI 2WD 19인치(빌트인캠),휘발유,7.5,10.4
기아,K9 PE 3.3GDI AWD 18인치(빌트인캠),휘발유,7.4,10
기아,K9 PE 3.3GDI AWD 19인치(빌트인캠),휘발유,7.1,10.3
페라리,페라리 SF90 Spider Assetto Fiorano,전기+휘발유,10.3,11.8
기아,K9 PE 3.3GDI 2WD 18인치,휘발유,7.9,11.2
기아,K9 PE 3.3GDI 2WD 19인치,휘발유,7.6,10.6
기아,K9 PE 3.3GDI AWD 18인치,휘발유,7.5,10.1
기아,K9 PE 3.3GDI AWD 19인치,휘발유,7.3,10.1
기아,K9 PE 3.3T-GDI 2WD 19인치(빌트인캠),휘발유,7.4,10.6
기아,K9 PE 3.3T-GDI AWD 19인치(빌트인캠),휘발유,6.8,10
기아,K9 PE 3.3T-GDI 2WD 19인치,휘발유,7.4,10.9
기아,K9 PE 3.3T-GDI AWD 19인치,휘발유,7,10.1
포드,Expedition 3.5 (8인승),휘발유,6.6,8.8
포드,Lincoln Navigator 3.5 (8인승),휘발유,6.4,8.6
벤츠,"Mercedes-Maybach S580 4MATIC	",휘발유,6.8,9.9
벤츠,Mercedes-AMG A35 4MATIC,휘발유,9.1,11.7
PSA Automobiles,Peugeot 5008 2.0 BlueHDi,경유,13.4,17.4
아우디,A5 Coupe 45 TFSI quattro,휘발유,9.7,12.8
람보르기니,Huracan STO,휘발유,5.6,7.4
마세라티,마세라티 콰트로포르테 트로페오,휘발유,5.5,6.8
현대,스타리아 3.5LPI 3밴 8AT,LPG,6.2,8.2
현대,스타리아 3.5LPI 3밴 8AT (빌트인캠),LPG,6.1,8.2
현대,스타리아 3.5LPI 5밴 8AT,LPG,6.2,8.2
현대,스타리아 3.5LPI 5밴 8AT (빌트인캠),LPG,6.1,8.2
아우디,A4 45 TFSI quattro,휘발유,9.8,12.9
현대,스타리아 3.5LPI 2WD 11인 17인치,LPG,6,7.8
현대,스타리아 3.5LPI 2WD 11인 17인치 (빌트인캠),LPG,6,7.8
현대,스타리아 3.5LPI 2WD 11인 18인치,LPG,6,7.8
현대,스타리아 3.5LPI 2WD 9인 18인치,LPG,6,7.7
현대,스타리아 3.5LPI 2WD 9인 18인치 (빌트인캠),LPG,5.9,7.7
현대,스타리아 라운지 3.5LPI 2WD 9인 18인치,LPG,5.8,7.7
현대,스타리아 3.5LPI 2WD 11인 18인치 (빌트인캠),LPG,6,7.8
기아,스타리아 3.5LPI 2WD 9인 17인치 (빌트인캠),LPG,5.9,7.9
현대,스타리아 3.5LPI 2WD 9인 17인치,LPG,6,8
현대,스타리아 라운지 3.5LPI 2WD 7인 18인치,LPG,6,7.7
현대,스타리아 라운지 3.5LPI 2WD 7인 18인치 (빌트인캠),LPG,5.9,7.7
벤츠,"Mercedes-Benz S580 4MATIC	",휘발유,6.8,9.9
현대,스타리아 라운지 3.5LPI 2WD 9인 18인치 (빌트인캠),LPG,5.8,7.7
BMW,MINI John Cooper Works Clubman ALL4(MY22),휘발유,8.9,11.6
랜드로버,디스커버리 D300,경유,9.6,12.7
벤츠,Mercedes-Benz GLB250 4MATIC,휘발유,9,11.8
벤츠,Mercedes-Benz GLB220,휘발유,9.5,12.3
GM,캐딜락 Escalade(8인승),휘발유,5.8,7.8
아우디,Q8 45 TDI quattro ,경유,9.2,12
PSA Automobiles,Peugeot 508 1.5 BlueHDi_(19inch tire),경유,14.3,17.7
PSA Automobiles,Peugeot 508 1.5 BlueHDi_(18inch tire),경유,15.4,20
PSA Automobiles,DS7 Crossback 1.5 BlueHDi,경유,14.6,15.3
PSA Automobiles,Peugeot 3008 1.5 BlueHDi,경유,14.5,17.8
현대,쏘나타(DN8) 2.0CVVL_17인치타이어_22MY,휘발유,11.4,14.7
현대,아이오닉5 기본형 RWD 19인치,전기,5.8,4.5
현대,아이오닉5 기본형 4WD 19인치,전기,5.4,4.3
현대,코나 N 2.0T-GDI 2WD 19인치타이어,휘발유,8.9,11.6
랜드로버,디스커버리 P360,휘발유,6.8,8.5
현대,쏘나타(DN8) 2.0CVVL_18인치타이어_22MY,휘발유,11.3,14.4
현대,"싼타페 1.6T-GDI 하이브리드 AWD 5인 19""타이어",휘발유,13.8,12.3
현대,"싼타페 1.6T-GDI 하이브리드 AWD 5인 17""타이어",휘발유,14,12.6
현대,"싼타페 1.6T-GDI 하이브리드 2WD 5인 19""타이어",휘발유,15.2,13.3
현대,"싼타페 1.6T-GDI 하이브리드 2WD 5인 17""(빌트인캠)",휘발유,16.1,13.8
현대,"싼타페 1.6T-GDI 하이브리드 2WD 5인 17""타이어",휘발유,16.4,14
현대,"싼타페 1.6T-GDI 하이브리드 AWD 7인 19""타이어",휘발유,13.8,12.3
현대,"싼타페 1.6T-GDI 하이브리드 AWD 7인 17""타이어",휘발유,14,12.6
현대,"싼타페 1.6T-GDI 하이브리드 2WD 7인 19""타이어",휘발유,15.2,13.3
현대,"싼타페 1.6T-GDI 하이브리드 2WD 7인 17""(빌트인캠)",휘발유,16.1,13.8
벤츠,Mercedes-Benz GLA220,휘발유,9.9,12.8
현대,쏘나타(DN8) 1.6 T-GDI 19인치(빌트인캠)_22MY,휘발유,11.3,14.6
현대,쏘나타(DN8) 1.6 T-GDI 19인치타이어_22MY,휘발유,11.3,15.1
현대,쏘나타(DN8) 1.6 T-GDI 17인치타이어(빌트인캠)_22MY,휘발유,12,16.1
현대,쏘나타(DN8) 1.6 T-GDI 17인치타이어_22MY,휘발유,12.3,16.2
현대,쏘나타(DN8) 2.0LPI_18인치타이어_22MY,LPG,8.7,11.6
현대,쏘나타(DN8) 하이브리드_17인치(빌트인캠)_22MY,휘발유,18.4,19.1
현대,쏘나타(DN8) 2.0GDI 하이브리드_17인치타이어_22MY,휘발유,19,19.1
현대,쏘나타(DN8) 하이브리드_18인치(빌트인캠)_22MY,휘발유,17.3,17.8
현대,쏘나타(DN8) 2.0GDI 하이브리드_18인치타이어_22MY,휘발유,18.1,17.8
벤틀리,Bentayga V8,휘발유,6,7.8
벤츠,"Mercedes-Benz GLE450 4MATIC (5 Seater)	",휘발유,7.7,9
벤츠,Mercedes-Benz GLS580 4MATIC,휘발유,6,7.7
벤츠,Mercedes-Maybach GLS600 (4 Seater),휘발유,6,7.7
벤츠,Mercedes-Benz GLE450 4MATIC,휘발유,7.7,9
아우디,e-tron Sportback 55 quattro,전기,3.1,3.2
벤츠,Mercedes-Maybach GLS600,휘발유,6,7.7
벤츠,Mercedes-AMG GLE53 4MATIC+ Coupe,휘발유,7.7,9
포드,Lincoln Navigator 3.5,휘발유,6.4,8.6
포드,Expedition 3.5,휘발유,6.6,8.8
현대,아이오닉5 항속형 4WD 19인치,전기,5.3,4.2
현대,아이오닉5 항속형 4WD 20인치,전기,5,4
벤츠,"Mercedes-AMG GT43 4MATIC+	",휘발유,7.9,9.5
현대,"싼타페 1.6T-GDI 하이브리드 2WD 7인 17""타이어",휘발유,16.4,14
벤츠,"Mercedes-AMG GLE53 4MATIC+	",휘발유,7.7,9
BMW,BMW M5 CS,휘발유,6.8,9.2
벤틀리,Bentayga V8,휘발유,6,7.8
벤츠,"Mercedes-Benz A250 4MATIC	",휘발유,9.8,13.6
벤츠,Mercedes-Benz S350 d,경유,10.4,14.7
현대,스타리아 2.2디젤 5밴 6MT,경유,11.2,13
현대,스타리아 2.2디젤 3밴 6MT,경유,11.6,13.2
현대,스타리아 2.2디젤 5밴 8AT (빌트인캠),경유,10.1,12.7
현대,스타리아 2.2디젤 5밴 8AT,경유,10.3,12.7
현대,스타리아 2.2디젤 3밴 8AT (빌트인캠),경유,10.5,13
현대,스타리아 2.2디젤 3밴 8AT,경유,10.6,13.1
쎄미시스코,D2C(D2C13),전기,6,4.8
폭스바겐,Touareg 3.0TDI,경유,9.6,12.8
벤츠,"Mercedes-AMG GLA45 4MATIC	",휘발유,7.8,10
BMW,BMW X2 M35i,휘발유,8.8,11.5
벤츠,"Mercedes-Benz CLA250 4MATIC	",휘발유,9.8,13.6
MINI,MINI Cooper S Convertible,휘발유,10.5,14.6
랜드로버,레인지로버 벨라 P250,휘발유,8,9.5
기아,K3 1.6 T-GDI 5DR 7DCT PE (SUMMER TIRE),휘발유,10.7,13.6
기아,K3 1.6 가솔린 CVT PE (16인치 타이어),휘발유,12.8,16.8
기아,K3 1.6 T-GDI 5DR 7DCT PE (ALL SEASON TIRE),휘발유,10.8,14
포르쉐,타이칸 터보 (5인승),전기,2.9,2.9
벤츠,"Mercedes-Benz S400 d 4MATIC	",경유,9.9,14
MINI,MINI Cooper Convertible,휘발유,11.1,13.6
벤츠,"Mercedes-Benz G400 d	",경유,8.2,8.7
벤츠,"Mercedes-Benz A220	",휘발유,10.2,13.7
MINI,MINI John Cooper Works Convertible,휘발유,10,13.5
BMW,BMW M135i xDrive,휘발유,8.9,11.8
(주)대창모터스,다니고VAN,전기,3.9,3.4
MINI,MINI Cooper S,휘발유,10.8,14.9
MINI,MINI Cooper,휘발유,12.2,15.3
포르쉐,타이칸 터보,전기,2.9,2.9
PSA Automobiles,Peugeot 508SW 1.5 BlueHDi_(19inch tire),경유,14.3,17.7
PSA Automobiles,Peugeot 508SW 1.5 BlueHDi_(18inch tire),경유,15.4,20
PSA Automobiles,Peugeot 5008 1.5 BlueHDi,경유,14.6,15.3
기아,K8 3.5 GDI AWD 19인치,휘발유,7.9,12
기아,K8 3.5 GDI AWD 18인치 (빌트인캠),휘발유,8,12.2
기아,K8 3.5 GDI AWD 18인치 ,휘발유,8.2,12.5
BMW,BMW 120i,휘발유,9.7,13
MINI,MINI Cooper S five-door,휘발유,11,15.3
(주)디피코,포트로 픽업(HMT-250P),전기,5.1,3.4
토요타,렉서스 LC500 Convertible,휘발유,6.1,10.5
MINI,MINI John Cooper Works,휘발유,10.2,13.5
BMW,BMW 220i Gran Coupe,휘발유,9.8,13.5
MINI,MINI Cooper five-door,휘발유,11.2,14.3
현대,스타리아 2.2디젤 2WD 11인 17인치,경유,9.8,12.5
현대,스타리아 2.2디젤 2WD 11인 18인치,경유,9.7,12.4
현대,스타리아 2.2디젤 2WD 9인 17인치 (빌트인캠),경유,10.1,12.5
현대,스타리아 2.2디젤 2WD 9인 18인치,경유,10.1,12.5
현대,스타리아 라운지 2.2디젤 2WD 7인 18인치,경유,9.8,12.2
현대,스타리아 라운지 2.2디젤 2WD 7인 18인치 (빌트인캠),경유,9.8,12.2
현대,스타리아 2.2디젤 4WD 11인 17인치,경유,9.4,11.6
현대,스타리아 2.2디젤 4WD 11인 17인치 (빌트인캠),경유,9.4,11.6
현대,스타리아 2.2디젤 4WD 11인 18인치,경유,9.4,11.6
현대,스타리아 2.2디젤 4WD 9인 17인치,경유,9.2,12
현대,스타리아 2.2디젤 4WD 9인 17인치 (빌트인캠),경유,9.2,12
현대,스타리아 2.2디젤 4WD 9인 18인치,경유,9.2,12
현대,스타리아 2.2디젤 4WD 9인 18인치 (빌트인캠),경유,9.2,12
현대,스타리아 라운지 2.2디젤 4WD 7인 18인치,경유,9.2,12
현대,스타리아 라운지 2.2디젤 4WD 7인 18인치 (빌트인캠),경유,9.2,12
현대,스타리아 라운지 2.2디젤 4WD 9인 18인치,경유,9.2,12
현대,아이오닉5 항속형 RWD 19인치,전기,5.9,4.5
케이지모빌리티,코란도 e-motion 2WD Heat Pump,전기,5.4,4.4
페라리,페라리 Portofino M,휘발유,6.5,9.8
현대,스타리아 2.2디젤 2WD  6MT 11인 17인치,경유,11,13
현대,스타리아 2.2디젤 2WD 11인 17인치 (빌트인캠),경유,9.8,12.5
현대,스타리아 2.2디젤 2WD 11인 18인치 (빌트인캠),경유,9.7,12.4
현대,스타리아 2.2디젤 2WD 9인 18인치 (빌트인캠),경유,10.1,12.5
현대,스타리아 2.2디젤 2WD 9인 17인치,경유,10.3,12.9
현대,스타리아 라운지 2.2디젤 2WD 9인 18인치,경유,9.8,12.2
현대,스타리아 라운지 2.2디젤 2WD 9인 18인치 (빌트인캠),경유,9.8,12.2
현대,스타리아 2.2디젤 4WD 11인 18인치 (빌트인캠),경유,9.4,11.6
현대,스타리아 라운지 2.2디젤 4WD 9인 18인치 (빌트인캠),경유,9.2,12
르노코리아자동차(주),"XM3 1.6 (17"" tire) LRRC",휘발유,12.3,15.6
르노코리아자동차(주),"XM3 1.3 (17"" tire) LRRC",휘발유,12.2,16.3
포르쉐,타이칸 터보 S (5인승),전기,2.8,2.9
기아,K8 1.6TGDI 하이브리드 18인치 (빌트인캠),휘발유,16.9,16.6
기아,K8 1.6TGDI 하이브리드 18인치,휘발유,17.2,16.9
기아,K8 1.6TGDI 하이브리드 17인치 (빌트인캠),휘발유,17.6,17.7
기아,K8 1.6TGDI 하이브리드 17인치,휘발유,18.2,17.7
혼다,ODYSSEY,휘발유,7.7,11.2
현대,아이오닉5 항속형 RWD 20인치,전기,5.5,4.2
폭스바겐,Arteon 2.0TDI,경유,13.7,18.5
현대,아이오닉5 항속형 RWD 19인치 빌트인캠,전기,5.8,4.4
아우디,A8 L 50 TDI quattro,경유,9.7,13.8
케이지모빌리티,렉스턴스포츠 2.2 디젤 2WD 6MT SCR,경유,10.6,12.2
케이지모빌리티,렉스턴스포츠 2.2 디젤 4WD 6MT SCR,경유,10.1,12.1
케이지모빌리티,렉스턴스포츠 2.2 디젤 2WD 6AT SCR,경유,9.4,11.7
케이지모빌리티,렉스턴스포츠 2.2 디젤 4WD 6AT SCR,경유,9.1,11.4
케이지모빌리티,렉스턴스포츠 칸 2.2 디젤 2WD 6MT SCR,경유,10.6,12
케이지모빌리티,렉스턴스포츠 칸 2.2 디젤 4WD 6MT SCR,경유,10.1,11.9
케이지모빌리티,렉스턴스포츠 칸 2.2 디젤 2WD 6AT SCR,경유,9.3,11.7
케이지모빌리티,렉스턴스포츠 칸 2.2 디젤 4WD 6AT SCR,경유,9.1,11.3
토요타,토요타 Sienna Hybrid AWD,휘발유,14.1,13.3
토요타,토요타 Sienna Hybrid 2WD,휘발유,15,14
포르쉐,타이칸 터보 S,전기,2.8,2.9
토요타,GR Supra,휘발유,9.1,12
기아,K8 3.5 GDI 18인치 (빌트인캠),휘발유,8.9,13.2
기아,K8 3.5 GDI 18인치,휘발유,9,13.4
기아,K8 3.5 LPI 18인치,LPG,6.6,9.6
기아,K8 3.5 LPI 17인치,LPG,6.8,10
GM,캐딜락 Escalade,휘발유,5.8,7.8
기아,K8 3.5 GDI 19인치,휘발유,8.8,13
기아,K8 2.5 GDI 19인치,휘발유,9.8,14
기아,K8 2.5 GDI 18인치,휘발유,10.1,14.4
기아,K8 2.5 GDI 17인치 (빌트인캠),휘발유,10.2,14.9
기아,K8 2.5 GDI 17인치,휘발유,10.3,15
벤츠,Mercedes-AMG GLB35 4MATIC,휘발유,8.8,10.6
벤츠,Mercedes-AMG C43 4MATIC Coupe,휘발유,7.6,10.3
포르쉐,파나메라 4 E-하이브리드,전기+휘발유,11.1,13.5
토요타,렉서스 LS500 AWD,휘발유,6.5,10.7
토요타,렉서스 LS500h AWD,휘발유,8.8,10.9
포드,Explorer 3.0,휘발유,7.2,10.2
(주)디피코,포트로 탑(HMT-250T),전기,5.1,3.4
아우디,A7 45 TDI quattro ,경유,11.4,15.5
벤츠,Mercedes-Benz GLB 220,휘발유,9.6,12.6
벤츠,Mercedes-Benz GLB 200 d,경유,13,16
(주) 케이모터,MG ZS EV,전기,4.7,4
포르쉐,카이엔 E-하이브리드 COUPE,전기+휘발유,10,11.1
포르쉐,카이엔 E-하이브리드 COUPE (5인승),전기+휘발유,10,11.1
포르쉐,파나메라 4 E-하이브리드 (5인승),전기+휘발유,11.1,13.5
아우디,A6 45 TDI quattro,경유,11.5,15.2
아우디,A8 50 TDI quattro,경유,10,13.7
아우디,S7 TDI,경유,10.2,13.6
아우디,A6 50 TDI quattro,경유,10.3,13.8
포르쉐,카이엔 E-하이브리드,전기+휘발유,10,11.1
마세라티,마세라티 기블리 트로페오,휘발유,5.6,8.2
아우디,A7 50 TDI quattro,경유,10.4,14.3
기아,"카니발 2.2디젤 하이리무진 9인승(18""/19""타이어)",경유,10.2,13.5
기아,"카니발 2.2디젤 하이리무진 7인승(19""타이어)",경유,9.6,13.4
아우디,S6 TDI,경유,10.2,13.6
벤츠,Mercedes-Benz GLB250 4MATIC (7seater),휘발유,9.5,12.1
벤츠,Mercedes-AMG G63(Standard),휘발유,5.4,6.3
벤틀리,Flying Spur V8,휘발유,5.9,8.3
(주) 한신자동차,플러스(PLUS),전기,2.5,2.6
토요타,렉서스 UX250h AWD,휘발유,15.6,14.4
벤츠,Mercedes-Benz GLC300 4MATIC Coupe,휘발유,8.5,10.3
벤츠,Mercedes-Benz A220 Sedan,휘발유,10.4,14.4
벤츠,Mercedes-Benz A220,휘발유,10.4,14.4
벤츠,Mercedes-Benz A200 d,경유,14.4,19
아우디,SQ5 Sportback TFSI,휘발유,7.8,10.7
폭스바겐,Tiguan 2.0TDI,경유,14.2,17.6
아우디,RS Q8,휘발유,5.8,8.2
현대,팰리세이드 2.2 디젤 2WD 7인 20인치 (21),경유,10.8,13.1
현대,팰리세이드 2.2 디젤 AWD 7인 18인치 (21),경유,10.4,12.8
현대,팰리세이드 2.2 디젤 AWD 7인 20인치 (21),경유,10.4,12.5
포드,Ranger Raptor,경유,8.4,9.5
포드,Ranger Wildtrak,경유,9.2,11.2
현대,팰리세이드 2.2 디젤 2WD 7인 18인치 (21),경유,11.4,13.8
현대,팰리세이드 2.2 디젤 2WD 8인 18인치 (21),경유,11.1,13.6
현대,팰리세이드 2.2 디젤 2WD 8인 20인치 (21),경유,10.8,13.1
현대,팰리세이드 2.2 디젤 AWD 8인 18인치 (21),경유,10.4,12.8
현대,팰리세이드 2.2 디젤 AWD 8인 20인치 (21),경유,10.4,12.5
기아,모하비 3.0 디젤 4WD 6인 18인치타이어 (21),경유,8.3,11
기아,모하비 3.0 디젤 4WD 6인 20인치타이어 (21),경유,8.2,10.8
기아,모하비 3.0 디젤 4WD 5인 20인치타이어 (21),경유,8.3,10.8
기아,모하비 3.0 디젤 4WD 7인 20인치타이어 (21),경유,8.2,10.8
기아,모하비 3.0 디젤 4WD 5인 18인치타이어 (21),경유,8.3,11
벤츠,Mercedes-Benz GLA220,휘발유,10.3,13.2
기아,모하비 3.0 디젤 4WD 7인 18인치타이어 (21),경유,8.2,11
벤츠,Mercedes-Benz GLC300 4MATIC,휘발유,8.5,10.3
기아,"셀토스 1.6디젤 4WD 18"" 타이어 (21)",경유,13.6,15.1
기아,"셀토스 1.6디젤 4WD 17"" 타이어 (21)",경유,14,15.9
기아,"셀토스 1.6디젤 4WD 16"" 타이어 (21)",경유,14.5,16.3
기아,"셀토스 1.6디젤 2WD 18"" 타이어 (21)",경유,15.3,17.1
기아,"셀토스 1.6디젤 2WD 17"" 타이어 (21)",경유,15.9,17.7
기아,"셀토스 1.6디젤 2WD 16"" 타이어 (21)",경유,16.1,18.4
벤츠,Mercedes-AMG G63,휘발유,5.4,6.3
벤츠,Mercedes-AMG GT63 S 4MATIC+ (5 seater),휘발유,6.4,8.5
재규어,재규어 F-Type P300 Convertible,휘발유,8.4,12.3
재규어,재규어 F-Type P300 Coupe,휘발유,8.4,12.3
르노코리아자동차(주),"QM6 New 2.0 DIESEL (4WD 19"" Tire)",경유,11.4,14.1
벤츠,Mercedes-Benz C220 d 4MATIC,경유,12.3,15.6
BMW,BMW M4 Competition,휘발유,7.3,10.2
BMW,BMW M3 Competition,휘발유,7.3,10
BMW,BMW 330i xDrive,휘발유,9.6,13.8
BMW,BMW 330i,휘발유,10.4,13.9
르노코리아자동차(주),"QM6 New 2.0 DIESEL (4WD 18"" Tire)",경유,11.4,14.6
토요타,렉서스 UX250h 2WD,휘발유,17.2,16.2
케이지모빌리티,코란도 1.6 디젤 6MT 2WD SCR Step2,경유,14.9,17.5
케이지모빌리티,코란도 1.6 디젤 6AT 2WD SCR Step2 17인치 타이어,경유,13.2,15.9
케이지모빌리티,코란도 1.6 디젤 6AT 2WD SCR Step2 19인치 타이어,경유,13,15.9
케이지모빌리티,코란도 1.6 디젤 6AT AWD SCR Step2,경유,12.8,16
기아,스포티지 1.6디젤 4WD (PE/19“ 타이어)(21),경유,12.7,13.8
기아,스포티지 1.6디젤 4WD (PE/18“ 타이어)(21),경유,13.1,14.9
기아,스포티지 1.6디젤 4WD (PE/17“ 타이어)(21),경유,13.6,14.4
기아,스포티지 1.6디젤 2WD (PE/19“ 타이어)(21),경유,14.2,15.7
기아,스포티지 1.6디젤 2WD (PE/18“ 타이어)(21),경유,14.4,16.1
기아,스포티지 1.6디젤 2WD (PE/17“ 타이어)(21),경유,15.3,16.4
포르쉐,타이칸 4S,전기,3,2.9
현대,코나(OS PE) 2.0 가솔린 2WD_16인치타이어,휘발유,12.6,15
벤츠,Mercedes-AMG C63 S Coupe,휘발유,7.2,10.1
아우디,Q5 Sportback 40 TDI quattro,경유,12.2,14.3
아우디,Q5 40 TDI quattro,경유,11.5,14.9
BMW,BMW M440i xDrive,휘발유,9.1,12.7
BMW,BMW 430i Convertible,휘발유,10.1,13.2
아우디,RS 5 Sportback,휘발유,7.4,10.7
아우디,RS 6 Avant,휘발유,6.1,8.6
포르쉐,파나메라 4,휘발유,7.1,9.6
포르쉐,파나메라 4 이그제큐티브,휘발유,7.1,9.6
포르쉐,파나메라 GTS,휘발유,6.2,8.6
포르쉐,파나메라 터보 S,휘발유,6.2,8.6
포르쉐,718 카이맨 GTS 4.0,휘발유,7.5,9.7
토요타,토요타 Camry Hybrid LE,휘발유,18.8,18.2
벤츠,Mercedes-AMG GT63 S 4MATIC+,휘발유,6.4,8.5
아우디,A5 Sportback 40 TDI quattro,경유,13.6,17.1
벤츠,Mercedes-AMG A35 4MATIC (NEW),휘발유,9.3,12
현대,코나(OS PE) 2.0 가솔린 2WD_17인치타이어,휘발유,12,15
현대,코나(OS PE) 2.0 가솔린 2WD_18인치타이어,휘발유,11.8,14.2
현대,코나(OS PE) 2.0 가솔린 4WD_16/17인치타이어,휘발유,10.8,13.3
현대,코나(OS PE) 2.0 가솔린 4WD_18인치타이어,휘발유,10.5,13.1
아우디,A6 40 TDI quattro,경유,12.9,16.4
포르쉐,파나메라 4 (5인승),휘발유,7.1,9.6
포르쉐,파나메라 GTS (5인승),휘발유,6.2,8.6
포르쉐,파나메라 터보 S (5인승),휘발유,6.2,8.6
포르쉐,718 박스터 GTS 4.0,휘발유,7.5,9.7
아우디,RS 7,휘발유,6.2,9.5
아우디,A6 40 TDI,경유,13.7,17
벤츠,Mercedes-AMG GT-R,휘발유,6.2,8.3
BMW,BMW 620d,경유,12.3,15.5
벤츠,Mercedes-Benz C200 Coupe,휘발유,9.5,13
아우디,A4 40 TDI quattro,경유,14.4,17.4
벤츠,Mercedes-Benz E 300 e 4MATIC FL,전기+휘발유,12.7,15.3
BMW,BMW X5 xDrive30d,경유,10,11.6
아우디,A4 35 TDI,경유,15.3,19.4
폭스바겐,Tiguan 2.0TDI 4Motion,경유,12.3,15
벤츠,Mercedes-AMG A45 4MATIC,휘발유,7.8,10.9
벤츠,Mercedes-AMG A35 4MATIC,휘발유,9.3,12
기아,카니발 3.5GDI 하이리무진 7인승 19인치,휘발유,7.4,10
벤츠,Mercedes-AMG S63 4MATIC Coupe,휘발유,6.5,8.7
케이지모빌리티,"렉스턴 2.2 8AT 2WD SCR Step2 5인승				",경유,9.5,13.1
케이지모빌리티,"렉스턴 2.2 8AT 4WD SCR Step2 5인승			",경유,9.3,12.7
케이지모빌리티,"렉스턴 2.2 8AT 2WD SCR Step2 5인승 ISG				",경유,10.4,13.4
케이지모빌리티,"렉스턴 2.2 8AT 4WD SCR Step2 5인승 ISG			",경유,9.9,12.9
BMW,BMW 420i Convertible,휘발유,10.1,13.7
기아,카니발 3.5GDI 하이리무진 9인승 19인치,휘발유,7.6,10.5
기아,카니발 3.5GDI 하이리무진 4인승 (19인치/20인치),휘발유,7.4,10
벤츠,Mercedes-Benz  A250 4MATIC,휘발유,10.3,13.5
기아,K5(DL3) 1.6T-GDI_17인치(빌트인캠)_21MY,휘발유,12,15.9
기아,K5(DL3) 1.6T-GDI_17인치타이어_21MY,휘발유,12.1,16
벤츠,Mercedes-Benz E220 d 4MATIC,경유,12.2,14.7
아우디,SQ5 TFSI,휘발유,7.6,10.5
벤츠,Mercedes-Benz E250,휘발유,9.1,11.7
벤츠,Mercedes-Benz E 450 4MATIC Coupe,휘발유,8,11.2
벤츠,Mercedes-Benz E450 4MATIC Cabriolet ,휘발유,8,11.2
벤츠,Mercedes-Benz E 450 4MATIC,휘발유,8,11.2
벤츠,Mercedes-Benz GLC220 d 4MATIC,경유,11.7,13.3
포르쉐,타이칸 4S (5인승),전기,3,2.9
토요타,토요타 Camry Hybrid,휘발유,17.3,16.8
벤츠,Mercedes-Benz GLC300 e 4MATIC,전기+휘발유,12.3,13
현대,GV70 2.2디젤 AWD 21인치,경유,10.8,13.7
현대,GV70 2.2디젤 AWD 19인치,경유,11.2,14.3
현대,GV70 2.2디젤 2WD 21인치,경유,11.2,14.7
현대,GV70 2.2디젤 2WD 19인치,경유,12,14.9
현대,GV70 2.5T-GDI AWD 21인치,휘발유,8.2,10.7
현대,GV70 2.5T-GDI AWD 19인치,휘발유,8.5,11.5
현대,GV70 2.5T-GDI 2WD 21인치,휘발유,8.8,11.3
현대,GV70 2.5T-GDI 2WD 19인치,휘발유,8.9,11.6
크라이슬러,짚 글래디에이터,휘발유,5.9,7.3
현대,GV70 3.5T-GDI AWD 21인치,휘발유,7.3,9.9
현대,GV70 2.2디젤 AWD 21인치 (스포츠패키지),경유,10.8,13.7
현대,GV70 2.2디젤 AWD 19인치 (스포츠패키지),경유,11.2,14.3
현대,GV70 2.2디젤 AWD 18인치(빌트인캠),경유,11.5,14.8
현대,GV70 2.2디젤 AWD 18인치,경유,11.5,15
현대,GV70 2.2디젤 2WD 21인치 (스포츠패키지),경유,11.2,14.7
현대,GV70 2.2디젤 2WD 19인치 (스포츠패키지),경유,12,14.9
아우디,A6 45 TFSI quattro,휘발유,9.6,12.6
현대,GV70 2.2디젤 2WD 18인치 (빌트인캠),경유,12.1,15.6
현대,GV70 2.2디젤 2WD 18인치,경유,12.1,15.8
현대,GV70 2.5T-GDI AWD 21인치 (스포츠패키지),휘발유,8.2,10.7
현대,GV70 2.5T-GDI AWD 19인치 (스포츠패키지),휘발유,8.5,11.5
현대,GV70 2.5T-GDI AWD 18인치(빌트인캠),휘발유,8.6,11.4
현대,GV70 2.5T-GDI AWD 18인치,휘발유,8.7,11.5
현대,GV70 2.5T-GDI 2WD 21인치 (스포츠패키지),휘발유,8.8,11.3
현대,GV70 2.5T-GDI 2WD 19인치 (스포츠패키지),휘발유,8.9,11.6
현대,GV70 2.5T-GDI 2WD 18인치(빌트인캠),휘발유,9.4,12.4
현대,GV70 2.5T-GDI 2WD 18인치,휘발유,9.6,12.4
